repo	file_name	file_volume	file_type	total_volume	num_of_drafts	main_file_type	URL	Single	num_of_versions
draft-ietf-add-split-horizon-authority	draft-ietf-add-split-horizon-authority.xml	{'draft-ietf-add-split-horizon-authority.xml': 24}	{'xml': 24}	24	1	xml		Y	1
draft-ietf-add-svcb-dns	"draft-schwartz-svcb-dns.md
draft-ietf-add-svcb-dns.md"	{'draft-schwartz-svcb-dns.md': 8, 'draft-ietf-add-svcb-dns.md': 20}	{'md': 28}	28	2	md	"draft-schwartz-svcb-dns: draft-ietf-add-svcb-dns
draft-ietf-add-svcb-dns: draft-ietf-add-svcb-dns"	Y	1
draft-ietf-add-requirements	draft-add-requirements.md	{'draft-add-requirements.md': 10}	{'md': 10}	10	1	md		Y	1
constrained-voucher	"constrained-voucher.mkd
constrained-voucher.xml"	{'constrained-voucher.mkd': 242, 'constrained-voucher.xml': 16}	{'mkd': 242, 'xml': 16}	258	2	mkd		Y	1
anima-brski-prm	draft-ietf-anima-brski-prm.md	{'draft-ietf-anima-brski-prm.md': 16}	{'md': 16}	16	1	md		Y	1
anima-brski-ae	"draft-ietf-anima-brski-async-enroll.xml
draft-ietf-anima-brski-ae.md"	{'draft-ietf-anima-brski-async-enroll.xml': 6, 'draft-ietf-anima-brski-ae.md': 2}	{'xml': 6, 'md': 2}	8	2	xml	"draft-ietf-anima-brski-async-enroll: draft-ietf-anima-brski-ae
draft-ietf-anima-brski-ae: draft-ietf-anima-brski-ae"	Y	1
brski-cloud	anima-brski-cloud.md	{'anima-brski-cloud.md': 36}	{'md': 36}	36	1	md		Y	1
autonomic-control-plane	draft-ietf-anima-autonomic-control-plane.xml	{'draft-ietf-anima-autonomic-control-plane.xml': 6}	{'xml': 6}	6	1	xml		Y	1
anima-bootstrap	dtbootstrap-anima-keyinfra.xml	{'dtbootstrap-anima-keyinfra.xml': 24}	{'xml': 24}	24	1	xml		Y	1
acme	"draft-ietf-acme-acme.md
draft-ietf-acme-acme.clean.xml
draft-ietf-acme-acme.xml
draft-ietf-acme.md
rfc8555.src-clean.xml
rfc8555.edited.xml"	{'draft-ietf-acme-acme.md': 668, 'draft-ietf-acme-acme.clean.xml': 10, 'draft-ietf-acme-acme.xml': 10, 'draft-ietf-acme.md': 4, 'rfc8555.src-clean.xml': 10, 'rfc8555.edited.xml': 2}	{'md': 672, 'xml': 32}	704	6	md	"draft-ietf-acme-acme: rfc8555
draft-ietf-acme-acme.clean: rfc8555
draft-ietf-acme-acme: rfc8555
draft-ietf-acme: rfc8555
rfc8555.src-clean: rfc8555
rfc8555.edited: rfc8555"	Y	1
ace-key-groupcomm-oscore	draft-ietf-ace-key-groupcomm-oscore.md	{'draft-ietf-ace-key-groupcomm-oscore.md': 44}	{'md': 44}	44	1	md		Y	1
ace-oauth	draft-ietf-ace-oauth-authz.xml	{'draft-ietf-ace-oauth-authz.xml': 44}	{'xml': 44}	44	1	xml		Y	1
mqtt-tls-profile	draft-ietf-ace-mqtt-tls-profile.xml	{'draft-ietf-ace-mqtt-tls-profile.xml': 34}	{'xml': 34}	34	1	xml		Y	1
ace-dtls-profile	"draft-ietf-ace-dtls-authorize.md
rfc9202.xml"	{'draft-ietf-ace-dtls-authorize.md': 10, 'rfc9202.xml': 4}	{'md': 10, 'xml': 4}	14	2	md	"draft-ietf-ace-dtls-authorize: rfc9202
rfc9202: rfc9202"	Y	1
ietf-ccamp-layer0-types-ext-RFC9093-bis	"draft-ietf-ccamp-layer0-types-ext.xml
draft-ietf-ccamp-rfc9093-bis.md
draft-ietf-ccamp-rfc9093-bis.xml"	{'draft-ietf-ccamp-layer0-types-ext.xml': 2, 'draft-ietf-ccamp-rfc9093-bis.md': 4, 'draft-ietf-ccamp-rfc9093-bis.xml': 4}	{'xml': 6, 'md': 4}	10	3	xml	"draft-ietf-ccamp-layer0-types-ext: draft-ietf-ccamp-rfc9093-bis
draft-ietf-ccamp-rfc9093-bis: draft-ietf-ccamp-rfc9093-bis"	Y	1
ietf-ccamp-yang-otn-slicing	"draft-ietf-ccamp-yang-otn-slicing.xml
draft-ietf-ccamp-yang-otn-slicing.md"	{'draft-ietf-ccamp-yang-otn-slicing.xml': 12, 'draft-ietf-ccamp-yang-otn-slicing.md': 10}	{'xml': 12, 'md': 10}	22	2	xml		Y	1
draft-ietf-ccamp-optical-impairment-topology-yang	draft-ietf-ccamp-optical-impairment-topology-yang.xml	{'draft-ietf-ccamp-optical-impairment-topology-yang.xml': 6}	{'xml': 6}	6	1	xml		Y	1
ebml-specification	rfc8794.xml	{'rfc8794.xml': 2}	{'xml': 2}	2	1	xml		Y	1
groupcomm-bis	draft-ietf-core-groupcomm-bis.md	{'draft-ietf-core-groupcomm-bis.md': 30}	{'md': 30}	30	1	md		Y	1
core-problem-details	draft-ietf-core-problem-details.md	{'draft-ietf-core-problem-details.md': 50}	{'md': 50}	50	1	md		Y	1
oscore-edhoc	draft-ietf-core-oscore-edhoc.md	{'draft-ietf-core-oscore-edhoc.md': 12}	{'md': 12}	12	1	md		Y	1
coral	draft-ietf-core-coral.md	{'draft-ietf-core-coral.md': 28}	{'md': 28}	28	1	md		Y	1
coap-pubsub	"draft-ietf-core-pubsub.md
draft-ietf-core-pubsub.xml
draft-ietf-core-coap-pubsub.md"	{'draft-ietf-core-pubsub.md': 30, 'draft-ietf-core-pubsub.xml': 12, 'draft-ietf-core-coap-pubsub.md': 2}	{'md': 32, 'xml': 12}	44	3	md	"draft-ietf-core-pubsub: draft-ietf-core-pubsub
draft-ietf-core-coap-pubsub: draft-ietf-core-coap-pubsub"	Y	1
resource-directory	"draft-ietf-core-resource-directory.md
rfc9176.xml"	{'draft-ietf-core-resource-directory.md': 326, 'rfc9176.xml': 4}	{'md': 326, 'xml': 4}	330	2	md	"draft-ietf-core-resource-directory: rfc9176
rfc9176: rfc9176"	Y	1
oscore-groupcomm	draft-ietf-core-oscore-groupcomm.md	{'draft-ietf-core-oscore-groupcomm.md': 54}	{'md': 54}	54	1	md		Y	1
oscore	draft-ietf-core-object-security.md	{'draft-ietf-core-object-security.md': 72}	{'md': 72}	72	1	md		Y	1
senml-data-ct	draft-ietf-core-senml-data-ct.md	{'draft-ietf-core-senml-data-ct.md': 18}	{'md': 18}	18	1	md		Y	1
echo-request-tag	"draft-ietf-core-echo-request-tag.md
draft-amsuess-core-repeat-request-tag.md"	{'draft-ietf-core-echo-request-tag.md': 74, 'draft-amsuess-core-repeat-request-tag.md': 4}	{'md': 78}	78	2	md	"draft-ietf-core-echo-request-tag: rfc9175
draft-amsuess-core-repeat-request-tag: rfc9175"	Y	1
dynlink	draft-ietf-core-dynlink.md	{'draft-ietf-core-dynlink.md': 20}	{'md': 20}	20	1	md		Y	1
new-block	draft-ietf-core-new-block.xml	{'draft-ietf-core-new-block.xml': 44}	{'xml': 44}	44	1	xml		Y	1
stateless	draft-ietf-core-stateless.xml	{'draft-ietf-core-stateless.xml': 12}	{'xml': 12}	12	1	xml		Y	1
senml-etch	draft-ietf-core-senml-etch.md	{'draft-ietf-core-senml-etch.md': 28}	{'md': 28}	28	1	md		Y	1
multipart-ct	draft-ietf-core-multipart-ct.md	{'draft-ietf-core-multipart-ct.md': 32}	{'md': 32}	32	1	md		Y	1
